Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Team_Total_Targets,Target_Share
68,Jahmyr Gibbs,22,DET,RB,17,4,63,52,517,25,-76,-1.5,593,11.4,-0.2,4.0,13.0,2,3.2,115.4,522,12.07
69,Chigoziem Okonkwo,25,TEN,TE,17,11,70,52,479,19,230,4.4,249,4.8,5.9,5.0,10.4,3,4.3,78.2,507,13.81
70,Javonte Williams,24,DEN,RB,17,11,70,52,346,14,-49,-0.9,395,7.6,-0.3,4.0,13.0,7,10.0,84.6,549,12.75
71,Tyler Conklin,29,NYJ,TE,16,15,72,51,449,24,187,3.7,262,5.1,4.9,0.0,,1,1.4,105.6,589,12.22
72,Tank Dell,25,HOU,WR,14,10,81,51,667,35,503,9.9,164,3.2,12.5,3.0,17.0,6,7.4,85.8,547,14.81
73,Aaron Jones,30,MIN,RB,17,17,62,51,408,20,-3,-0.1,411,8.1,0.9,1.0,51.0,2,3.2,98.1,517,11.99
74,Deebo Samuel,28,SFO,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8.0,6.4,6,7.4,96.2,513,15.79
75,Rachaad White,25,TAM,RB,16,15,57,51,393,18,-123,-2.4,516,10.1,-1.9,3.0,17.0,0,0.0,130.5,563,10.12
76,Will Dissly,28,LAC,TE,15,8,64,50,481,24,178,3.6,303,6.1,4.6,4.0,12.5,4,6.3,108.4,491,13.03
77,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7.0,5.7,4.0,12.5,2,3.2,125.5,563,11.01
78,Juwan Johnson,28,NOR,TE,17,5,66,50,548,27,336,6.7,212,4.2,8.2,3.0,16.7,3,4.5,108.6,517,12.77
79,Tucker Kraft,24,GNB,TE,17,17,70,50,707,30,251,5.0,456,9.1,5.3,9.0,5.6,5,7.1,131.1,464,15.09
