"Rank","Player","RZ_REC","RZ_TGT","RZ_REC_PCT","RZ_YDS","Y/R","RZ_P_TD","RZ_TGT_PCT","ATT","YDS","RTD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"150","Tylan Wallace (BAL)","1","1","100.0%","2","2.0","0","5.6%","0","0","0","0.0%","0","17","1.2","0.1","0.6%"
"151","Ashton Dulin (IND)","0","1","0.0%","0","0","0","2.6%","1","12","0","33.3%","0","15","1.2","0.1","0.1%"
"152","Bo Melton (GB)","1","1","100.0%","1","1.0","0","2.2%","0","0","0","0.0%","0","17","1.1","0.1","1.6%"
"153","Malachi Corley (NYJ)","0","2","0.0%","0","0","0","3.3%","2","26","0","100.0%","1","7","0.6","0.1","5.2%"
"154","Adonai Mitchell (IND)","0","7","0.0%","0","0","0","17.9%","2","6","0","66.7%","0","17","0.6","0.0","16.4%"
"155","Jalen Reagor (LAC)","0","0","0%","0","0","0","0.0%","1","1","0","50.0%","0","8","0.1","0.0","0.0%"
"156","Chris Conley (FA)","0","1","0.0%","0","0","0","2.2%","0","0","0","0.0%","0","9","0.0","0.0","0.0%"
"157","Robbie Chosen (FA)","0","2","0.0%","0","0","0","5.6%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
"158","Jonathan Mingo (DAL)","0","1","0.0%","0","0","0","2.2%","0","0","0","0.0%","0","16","0.0","0.0","1.3%"
"159","Mike Williams (LAC)","0","2","0.0%","0","0","0","6.3%","0","0","0","0%","0","14","0.0","0.0","13.9%"
"160","Bryce Oliver (TEN)","0","1","0.0%","0","0","0","3.8%","0","0","0","0.0%","0","10","0.0","0.0","0.0%"
"161","Braxton Berrios (HOU)","0","1","0.0%","0","0","0","2.8%","0","0","0","0.0%","0","8","0.0","0.0","0.6%"
"162","Zay Jones (ARI)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","11","0.0","0.0","2.6%"
"163","Jahan Dotson (PHI)","0","1","0.0%","0","0","0","3.3%","0","0","0","0.0%","0","17","0.0","0.0","7.2%"
"164","Justyn Ross (KC)","0","1","0.0%","0","0","0","2.0%","0","0","0","0.0%","0","2","0.0","0.0","0.0%"
"165","Dante Pettis (NO)","0","1","0.0%","0","0","0","6.3%","0","0","0","0.0%","0","8","0.0","0.0","0.1%"
"166","Scotty Miller (PIT)","0","1","0.0%","0","0","0","3.1%","0","0","0","0%","0","13","0.0","0.0","0.1%"
"167","Ramel Keyton (FA)","0","1","0.0%","0","0","0","3.6%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"168","Xavier Hutchinson (HOU)","0","1","0.0%","0","0","0","2.7%","0","0","0","0.0%","0","16","0.0","0.0","0.6%"
"169","Jordan Whittington (LAR)","0","1","0.0%","0","0","0","2.3%","0","0","0","0.0%","0","15","0.0","0.0","12.4%"
"170","KhaDarel Hodge (ATL)","0","1","0.0%","0","0","0","2.9%","0","0","0","0.0%","0","16","0.0","0.0","0.8%"
"171","Irvin Charles (NYJ)","0","1","0.0%","0","0","0","1.6%","0","0","0","0.0%","0","11","0.0","0.0","1.1%"
"172","Simi Fehoko (ARI)","0","2","0.0%","0","0","0","7.1%","0","0","0","0.0%","0","6","0.0","0.0","1.0%"
"173","Alex Bachman (LV)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"174","Quinton Bell (MIA)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","16","0.0","0.0","1.2%"
"175","Kameron Johnson (TB)","0","1","0.0%","0","0","0","2.4%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
""
""
