Player,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR
elijah moore,24,CLE,17,102,61,538,16.09,65.0,998.0,4491,22.22,6.0,4.0,57.1%,0.0,24.1%,554.0,120.9,7.1,9.7,-2.6,1.0,0.1,0.18,-0.08,0.4,-5.9,0.97
george pickens,23,PIT,14,103,59,900,22.39,66.0,1370.0,3111,44.04,16.0,7.0,43.8%,3.0,50.0%,395.0,164.4,11.7,14.2,-2.5,3.0,0.2,0.55,-0.35,0.64,-1.3,2.28
xavier worthy,21,KAN,17,98,59,638,17.13,66.0,904.0,2706,33.41,17.0,11.0,61.1%,4.0,36.7%,458.0,187.2,11.0,10.8,0.2,6.0,0.5,0.34,0.16,0.49,-2.0,1.39
jaylen waddle,26,MIA,15,83,58,744,14.61,66.0,828.0,2790,29.68,10.0,6.0,66.7%,1.0,25.0%,429.0,149.6,9.4,9.7,-0.3,2.0,0.1,0.2,-0.1,0.43,-3.6,1.73
jameson williams,23,DET,15,91,58,1001,17.43,61.0,1022.0,2797,36.54,10.0,6.0,54.5%,1.0,21.2%,449.0,212.2,14.1,11.7,2.4,7.0,0.5,0.35,0.15,0.52,1.1,2.23
deandre hopkins,32,2TM,16,80,56,610,16.63,58.0,846.0,5041,16.78,11.0,5.0,45.5%,5.0,22.4%,328.0,147.0,9.2,10.4,-1.2,5.0,0.3,0.41,-0.11,0.37,-3.8,1.86
deandre hopkins,32,TEN,6,21,15,173,4.14,58.0,846.0,4023,21.03,11.0,5.0,45.5%,5.0,22.4%,328.0,147.0,9.2,10.4,-1.2,5.0,0.3,0.41,-0.11,0.21,-3.8,0.53
deandre hopkins,32,KAN,10,59,41,437,10.31,58.0,846.0,2706,31.26,11.0,5.0,45.5%,5.0,22.4%,328.0,147.0,9.2,10.4,-1.2,5.0,0.3,0.41,-0.11,0.37,-3.8,1.33
quentin johnston,23,LAC,15,91,55,711,18.53,62.0,986.0,3626,27.19,11.0,5.0,55.6%,4.0,32.1%,348.0,174.7,11.6,10.7,0.9,8.0,0.5,0.33,0.17,0.47,-1.4,2.04
jayden reed,24,GNB,17,75,55,857,16.16,64.0,680.0,3707,18.34,10.0,9.0,81.8%,5.0,23.9%,353.0,197.0,11.6,9.0,2.6,6.0,0.4,0.26,0.14,0.37,-1.4,2.43
rome odunze,22,CHI,17,101,54,734,19.17,60.0,1400.0,3708,37.76,17.0,6.0,35.3%,3.0,30.9%,511.0,144.9,8.5,11.7,-3.2,3.0,0.2,0.48,-0.28,0.55,-4.5,1.44
tank dell,25,HOU,14,81,51,667,14.81,57.0,1011.0,4229,23.91,8.0,5.0,55.6%,2.0,24.3%,391.0,140.0,10.0,11.6,-1.6,3.0,0.2,0.4,-0.2,0.39,-3.0,1.71
deebo samuel,28,SFO,15,81,51,670,15.79,58.0,533.0,3098,17.2,13.0,10.0,71.4%,2.0,31.1%,374.0,153.6,10.2,10.7,-0.5,3.0,0.3,0.25,0.05,0.36,-2.8,1.79
chris godwin,28,TAM,7,62,50,576,11.01,52.0,355.0,3428,10.36,6.0,7.0,100.0%,3.0,16.7%,229.0,137.8,19.7,15.6,4.1,5.0,0.7,0.43,0.27,0.24,6.7,2.52
xavier legette,23,CAR,16,84,49,497,16.22,57.0,1046.0,4054,25.8,12.0,5.0,50.0%,4.0,22.2%,383.0,125.1,7.8,9.6,-1.8,4.0,0.3,0.32,-0.02,0.42,-5.2,1.3
tyler lockett,32,SEA,17,74,49,600,13.01,53.0,790.0,3520,22.44,9.0,2.0,20.0%,1.0,29.4%,524.0,121.0,7.1,8.1,-1.0,2.0,0.1,0.29,-0.19,0.35,-5.9,1.15
jalen tolbert,25,DAL,17,79,49,610,12.7,53.0,905.0,4089,22.13,13.0,8.0,61.5%,7.0,28.3%,501.0,152.0,8.9,8.6,0.3,7.0,0.4,0.35,0.05,0.35,-4.1,1.22
adam thielen,34,CAR,10,62,48,615,11.97,50.0,684.0,4054,16.87,7.0,4.0,66.7%,2.0,13.3%,272.0,139.5,14.0,11.0,3.0,5.0,0.5,0.4,0.1,0.3,1.0,2.26
stefon diggs,31,HOU,8,64,47,496,11.7,50.0,556.0,4229,13.15,5.0,5.0,100.0%,3.0,13.5%,249.0,121.9,15.2,13.8,1.4,3.0,0.5,0.3,0.2,0.27,2.2,1.99
tre tucker,23,LVR,17,81,47,539,13.68,49.0,1025.0,3751,27.33,5.0,5.0,100.0%,2.0,17.9%,601.0,129.3,7.6,9.2,-1.6,3.0,0.2,0.21,-0.01,0.4,-5.4,0.9
michael wilson,24,ARI,16,71,47,548,13.58,50.0,811.0,2668,30.4,7.0,6.0,75.0%,3.0,32.0%,460.0,124.5,7.8,8.4,-0.6,4.0,0.3,0.25,0.05,0.42,-5.2,1.19
romeo doubs,24,GNB,13,72,46,601,15.52,53.0,886.0,3707,23.9,9.0,8.0,72.7%,3.0,23.9%,315.0,132.1,10.2,10.0,0.2,4.0,0.3,0.34,-0.04,0.4,-2.8,1.91
rashod bateman,25,BAL,17,72,45,756,15.75,49.0,979.0,3332,29.38,8.0,6.0,75.0%,5.0,44.4%,387.0,174.6,10.3,7.2,3.1,9.0,0.5,0.24,0.26,0.44,-2.7,1.95
olamide zaccheaus,27,WAS,17,64,45,506,12.7,50.0,406.0,3189,12.73,8.0,7.0,87.5%,2.0,22.2%,253.0,112.4,6.6,6.9,-0.3,3.0,0.2,0.18,0.02,0.28,-6.4,2.0
amari cooper,30,2TM,14,85,44,547,17.67,56.0,1045.0,5041,20.73,5.0,4.0,80.0%,2.0,13.2%,337.0,122.7,9.4,11.3,-1.9,4.0,0.3,0.28,0.02,0.41,-3.6,1.62
amari cooper,30,CLE,6,53,24,250,8.36,56.0,1045.0,4491,23.27,5.0,4.0,80.0%,2.0,13.2%,337.0,122.7,9.4,11.3,-1.9,4.0,0.3,0.28,0.02,0.29,-3.6,0.74
amari cooper,30,BUF,8,32,20,297,6.46,56.0,1045.0,3994,26.16,5.0,4.0,80.0%,2.0,13.2%,337.0,122.7,9.4,11.3,-1.9,4.0,0.3,0.28,0.02,0.28,-3.6,0.88
kayshon boutte,22,NWE,15,68,43,589,13.6,47.0,987.0,2508,39.35,3.0,2.0,50.0%,0.0,20.0%,410.0,121.9,8.1,8.8,-0.7,3.0,0.2,0.24,-0.04,0.48,-4.9,1.44
tutu atwell,25,LAR,17,62,42,562,11.46,45.0,695.0,3552,19.57,3.0,1.0,50.0%,0.0,4.5%,254.0,98.9,5.8,6.3,-0.5,0.0,0.0,0.09,-0.09,0.31,-7.2,2.21
devaughn vele,27,DEN,13,55,41,475,10.02,44.0,461.0,3912,11.78,7.0,5.0,83.3%,2.0,13.6%,268.0,106.5,8.2,7.3,0.9,3.0,0.2,0.19,0.01,0.23,-4.8,1.77
tyler boyd,30,TEN,16,57,39,390,11.24,42.0,418.0,4023,10.39,7.0,2.0,28.6%,0.0,26.9%,404.0,78.3,5.2,6.5,-1.3,0.0,0.0,0.2,-0.2,0.24,-7.8,0.97
marvin mims,22,DEN,17,52,39,503,9.47,42.0,400.0,3912,10.22,5.0,4.0,100.0%,1.0,9.1%,169.0,129.5,7.6,5.7,1.9,6.0,0.4,0.15,0.25,0.21,-5.4,2.98
josh palmer,25,LAC,15,65,39,584,13.24,43.0,993.0,3626,27.39,7.0,3.0,42.9%,0.0,25.0%,341.0,107.4,7.2,8.6,-1.4,1.0,0.1,0.27,-0.17,0.39,-5.8,1.71
darius slayton,27,NYG,16,71,39,573,12.82,43.0,933.0,3532,26.42,5.0,0.0,0.0%,0.0,14.3%,494.0,110.0,6.9,8.8,-1.9,2.0,0.1,0.26,-0.16,0.38,-6.1,1.16
dontayvion wicks,23,GNB,17,76,39,415,16.38,48.0,811.0,3707,21.88,14.0,10.0,76.9%,4.0,28.3%,254.0,110.5,6.5,8.3,-1.8,5.0,0.3,0.3,0.0,0.4,-6.5,1.63
greg dortch,26,ARI,17,50,37,342,9.56,40.0,207.0,2668,7.76,7.0,6.0,100.0%,1.0,24.0%,259.0,90.3,5.3,4.9,0.4,3.0,0.2,0.12,0.08,0.2,-7.7,1.32
allen lazard,29,NYJ,12,60,37,530,10.19,43.0,679.0,3922,17.31,12.0,5.0,45.5%,3.0,18.0%,404.0,126.0,10.5,9.3,1.2,6.0,0.5,0.28,0.22,0.27,-2.5,1.31
jalen mcmillan,23,TAM,13,58,37,461,10.3,41.0,706.0,3428,20.6,8.0,7.0,87.5%,4.0,19.0%,360.0,135.4,10.4,8.5,1.9,8.0,0.6,0.36,0.24,0.3,-2.6,1.28
alec pierce,24,IND,16,69,37,824,14.02,40.0,1484.0,4444,33.39,6.0,4.0,66.7%,4.0,15.4%,422.0,161.4,10.1,9.2,0.9,7.0,0.4,0.34,0.06,0.44,-2.9,1.95
calvin austin,25,PIT,17,58,36,548,12.61,39.0,718.0,3111,23.08,4.0,2.0,40.0%,0.0,15.6%,354.0,118.8,7.0,6.1,0.9,4.0,0.2,0.16,0.04,0.35,-6.0,1.55
andrei iosivas,25,CIN,17,61,36,479,9.71,41.0,682.0,3630,18.79,10.0,6.0,66.7%,6.0,12.0%,547.0,119.9,7.1,7.4,-0.3,6.0,0.4,0.32,0.08,0.28,-5.9,0.88
noah brown,28,WAS,11,56,35,453,11.11,39.0,658.0,3189,20.63,3.0,3.0,75.0%,0.0,11.1%,239.0,86.3,7.8,9.3,-1.5,1.0,0.1,0.15,-0.05,0.31,-5.2,1.9
tim patrick,31,DET,16,44,33,394,8.43,34.0,439.0,2797,15.7,8.0,6.0,75.0%,3.0,15.4%,319.0,92.4,5.8,5.7,0.1,3.0,0.2,0.23,-0.03,0.24,-7.2,1.24
diontae johnson,28,3TM,12,67,33,375,100.0,36.0,729.0,729,100.0,11.0,3.0,27.3%,2.0,24.4%,230.0,89.1,8.1,10.9,-2.8,3.0,0.3,0.51,-0.21,2.2,-4.9,1.63
diontae johnson,28,CAR,7,58,30,357,11.2,36.0,729.0,4054,17.98,11.0,3.0,27.3%,2.0,24.4%,230.0,89.1,8.1,10.9,-2.8,3.0,0.3,0.51,-0.21,0.29,-4.9,1.55
diontae johnson,28,BAL,4,5,1,6,1.09,36.0,729.0,3332,21.88,11.0,3.0,27.3%,2.0,24.4%,230.0,89.1,8.1,10.9,-2.8,3.0,0.3,0.51,-0.21,0.17,-4.9,0.03
diontae johnson,28,HOU,1,4,2,12,0.73,36.0,729.0,4229,17.24,11.0,3.0,27.3%,2.0,24.4%,230.0,89.1,8.1,10.9,-2.8,3.0,0.3,0.51,-0.21,0.13,-4.9,0.05
jalen coker,23,CAR,11,46,32,478,8.88,32.0,519.0,4054,12.8,7.0,2.0,33.3%,1.0,13.3%,248.0,92.6,8.4,8.3,0.1,2.0,0.2,0.25,-0.05,0.22,-4.6,1.93
david moore,29,CAR,17,57,32,351,11.0,36.0,615.0,4054,15.17,11.0,5.0,50.0%,2.0,22.2%,305.0,85.1,5.0,6.4,-1.4,3.0,0.2,0.26,-0.06,0.27,-8.0,1.15
chris olave,24,NOR,8,44,32,400,8.51,34.0,455.0,3170,14.35,5.0,4.0,66.7%,1.0,37.5%,173.0,76.7,9.6,10.3,-0.7,1.0,0.1,0.28,-0.18,0.23,-3.4,2.31
sterling shepard,31,TAM,14,51,32,334,9.06,36.0,473.0,3428,13.8,5.0,3.0,50.0%,1.0,14.3%,319.0,80.3,5.7,6.3,-0.6,1.0,0.1,0.16,-0.06,0.23,-7.3,1.05
