"Rank","Player","REC_I10","TGT_I10","REC_PCT_I10","YDS_I10","Y/R","TD_I10","TGT_PCT_I10","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"141","Dyami Brown (JAC)","0","2","0.0%","0","0","0","11.1%","0","0","0","0%","0","15","0.0","0.0","13.5%"
"142","Tutu Atwell (LAR)","0","1","0.0%","0","0","0","4.0%","0","0","0","0.0%","0","17","0.0","0.0","10.6%"
"143","Tyler Boyd (FA)","0","3","0.0%","0","0","0","23.1%","0","0","0","0.0%","0","15","0.0","0.0","1.9%"
"144","John Metchie III (HOU)","0","3","0.0%","0","0","0","15.8%","0","0","0","0.0%","0","13","0.0","0.0","3.2%"
"145","George Pickens (DAL)","0","7","0.0%","0","0","0","41.2%","0","0","0","0%","0","14","0.0","0.0","91.8%"
"146","Chris Conley (FA)","0","1","0.0%","0","0","0","5.3%","0","0","0","0.0%","0","9","0.0","0.0","0.0%"
"147","Rakim Jarrett (TB)","0","1","0.0%","0","0","0","3.8%","0","0","0","0%","0","10","0.0","0.0","1.9%"
"148","Jonathan Mingo (DAL)","0","1","0.0%","0","0","0","4.2%","0","0","0","0.0%","0","16","0.0","0.0","1.3%"
"149","Ramel Keyton (FA)","0","1","0.0%","0","0","0","10.0%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"150","Jordan Whittington (LAR)","0","1","0.0%","0","0","0","4.0%","0","0","0","0.0%","0","15","0.0","0.0","12.4%"
"151","Simi Fehoko (ARI)","0","1","0.0%","0","0","0","7.7%","0","0","0","0%","0","6","0.0","0.0","1.0%"
"152","Calvin Austin III (PIT)","0","2","0.0%","0","0","0","11.8%","0","0","0","0%","0","17","0.0","0.0","11.8%"
"153","Kameron Johnson (TB)","0","1","0.0%","0","0","0","3.8%","0","0","0","0%","0","5","0.0","0.0","0.0%"
"154","Mecole Hardman Jr. (GB)","1","2","50.0%","-2","-2.0","0","9.1%","0","0","0","0.0%","0","12","-0.2","0.0","1.0%"
"155","Rashee Rice (KC)","1","1","100.0%","-3","-3.0","0","4.5%","0","0","0","0.0%","0","4","-0.3","-0.1","94.8%"
""
""
