Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TK LOSS,TK LOSS YDS,REC,TGT,RZ TGT_x,Rush TD,Rec TD,Rec YDS,FPTS,FPTS/G,RZ YDS,RZ TD,RZ PCT,RZ REC,RZ TGT_y,RZ REC TD,RZ REC TGT PCT,RZ FPTS,RZ FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff
46,cam akers,25,HOU,RB,5,2,40,147,5,84,2.1,63,1.6,2,20.0,19.0,-37.0,14.0,18.0,4.0,2.0,3.0,68.0,93.2,5.8,23.0,2.0,18.3%,3.0,4.0,3.0,19.0%,35.3,2.2,5.8,0.3,0.2,0.0,0.1
46,cam akers,25,MIN,RB,12,0,64,297,16,142,2.2,155,2.4,5,12.8,19.0,-37.0,14.0,18.0,4.0,2.0,3.0,68.0,93.2,5.8,23.0,2.0,18.3%,3.0,4.0,3.0,19.0%,35.3,2.2,5.8,0.3,0.2,0.0,0.1
47,emanuel wilson,25,GNB,RB,17,0,103,502,27,260,2.5,242,2.3,9,11.4,7.0,-14.0,11.0,14.0,2.0,4.0,1.0,48.0,96.0,5.6,32.0,3.0,17.5%,2.0,2.0,0.0,22.2%,23.5,1.4,5.2,0.3,0.22,0.4,0.08
49,nick chubb,29,CLE,RB,8,8,102,332,17,170,1.7,162,1.6,4,25.5,11.0,-17.0,5.0,11.0,1.0,3.0,1.0,31.0,63.3,7.9,34.0,3.0,46.2%,1.0,1.0,1.0,33.3%,28.9,3.6,9.6,0.4,0.45,-1.7,-0.05
50,gus edwards,29,LAC,RB,11,6,101,365,17,125,1.2,240,2.4,9,11.2,6.0,-17.0,3.0,5.0,0.0,4.0,0.0,6.0,64.1,5.8,59.0,4.0,35.1%,0.0,0.0,0.0,0.0%,29.9,2.7,6.5,0.4,0.34,-0.7,0.06
51,braelon allen,20,NYJ,RB,17,2,92,334,22,143,1.6,191,2.1,4,23.0,7.0,-9.0,19.0,27.0,1.0,2.0,1.0,148.0,85.2,5.0,42.0,2.0,25.7%,1.0,1.0,1.0,8.3%,24.4,1.4,5.5,0.2,0.13,-0.5,0.07
54,raheem mostert,32,MIA,RB,13,1,85,278,13,143,1.7,135,1.6,1,85.0,14.0,-27.0,19.0,23.0,2.0,2.0,0.0,161.0,70.9,5.5,19.0,2.0,25.9%,1.0,2.0,0.0,11.1%,15.1,1.2,6.8,0.2,0.24,-1.3,-0.04
55,isaac guerendo,24,SFO,RB,16,3,84,420,18,180,2.1,240,2.9,3,28.0,6.0,-7.0,15.0,16.0,0.0,4.0,0.0,152.0,94.2,5.9,49.0,4.0,20.6%,0.0,0.0,0.0,0.0%,28.9,1.8,5.0,0.3,0.19,0.9,0.11
56,tyjae spears,23,TEN,RB,12,1,84,312,19,128,1.5,184,2.2,13,6.5,11.0,-24.0,30.0,35.0,2.0,4.0,1.0,224.0,113.6,9.5,34.0,4.0,26.1%,3.0,3.0,1.0,50.0%,40.1,3.3,8.9,0.4,0.27,0.6,0.13
57,isiah pacheco,25,KAN,RB,7,6,83,310,14,182,2.2,128,1.5,0,,5.0,-10.0,12.0,16.0,1.0,1.0,0.0,79.0,56.9,8.1,32.0,1.0,15.4%,1.0,1.0,0.0,6.3%,10.3,1.5,10.8,0.1,0.36,-2.7,-0.26
60,austin ekeler,29,WAS,RB,12,6,77,367,19,231,3.0,136,1.8,3,25.7,6.0,-8.0,35.0,41.0,3.0,4.0,0.0,366.0,132.3,11.0,80.0,3.0,23.3%,2.0,3.0,0.0,33.3%,28.7,2.4,9.4,0.3,0.36,1.6,-0.06
61,audric estime,21,DEN,RB,13,1,76,310,15,134,1.8,176,2.3,3,25.3,4.0,-6.0,5.0,5.0,0.0,2.0,0.0,27.0,48.7,3.7,32.0,1.0,19.2%,0.0,0.0,0.0,0.0%,9.2,0.7,4.2,0.2,0.13,-0.5,0.07
62,kenneth gainwell,25,PHI,RB,17,1,75,290,12,162,2.2,128,1.7,3,25.0,6.0,-11.0,16.0,22.0,3.0,1.0,0.0,116.0,62.6,3.7,90.0,1.0,24.4%,3.0,3.0,0.0,20.0%,21.5,1.3,4.6,0.1,0.2,-0.9,-0.1
63,ezekiel elliott,29,DAL,RB,15,2,74,226,14,115,1.6,111,1.5,2,37.0,6.0,-12.0,12.0,15.0,2.0,3.0,0.0,69.0,57.5,3.8,18.0,3.0,38.9%,1.0,2.0,0.0,28.6%,19.7,1.3,4.7,0.2,0.2,-0.9,0.0
64,zack moss,27,CIN,RB,8,6,74,242,13,166,2.2,76,1.0,4,18.5,6.0,-11.0,23.0,27.0,3.0,2.0,1.0,187.0,81.9,9.1,43.0,2.0,26.2%,2.0,3.0,1.0,17.6%,24.8,2.8,11.4,0.4,0.5,-2.3,-0.1
65,donta foreman,28,CLE,RB,11,3,71,232,10,131,1.8,101,1.4,0,,2.0,-2.0,6.0,8.0,0.0,0.0,0.0,54.0,32.6,3.3,9.0,0.0,28.2%,0.0,0.0,0.0,0.0%,-1.1,-0.1,5.4,0.0,0.28,-2.1,-0.28
67,jaylen wright,21,MIA,RB,15,1,68,249,11,126,1.9,123,1.8,3,22.7,15.0,-40.0,3.0,6.0,1.0,0.0,0.0,8.0,26.7,1.8,13.0,0.0,8.6%,1.0,1.0,0.0,5.6%,2.3,0.2,3.0,0.0,0.07,-1.2,-0.07
70,ameer abdullah,31,LVR,RB,16,3,66,311,14,183,2.8,128,1.9,5,13.2,3.0,-7.0,40.0,47.0,6.0,2.0,3.0,261.0,125.2,8.3,51.0,2.0,27.1%,6.0,6.0,3.0,75.0%,42.1,2.8,8.9,0.4,0.31,-0.6,0.09
72,zamir white,25,LVR,RB,8,5,65,183,4,93,1.4,90,1.4,4,16.3,4.0,-12.0,6.0,8.0,0.0,1.0,0.0,30.0,29.3,3.7,16.0,1.0,14.6%,0.0,0.0,0.0,0.0%,7.6,1.0,6.4,0.1,0.22,-2.7,-0.12
73,trey benson,21,ARI,RB,13,1,63,291,16,157,2.5,134,2.1,4,15.8,4.0,-6.0,6.0,6.0,0.0,1.0,0.0,59.0,47.0,3.6,7.0,1.0,5.2%,0.0,0.0,0.0,0.0%,6.7,0.5,3.3,0.1,0.07,0.3,0.03
76,blake corum,24,LAR,RB,17,1,58,207,12,122,2.1,85,1.5,0,,5.0,-10.0,7.0,8.0,0.0,0.0,0.0,58.0,33.5,2.2,23.0,0.0,10.1%,0.0,0.0,0.0,0.0%,2.3,0.2,3.3,0.0,0.13,-1.1,-0.13
78,ty chandler,26,MIN,RB,17,0,56,182,9,128,2.3,54,1.0,0,,6.0,-13.0,6.0,6.0,1.0,0.0,0.0,42.0,28.4,1.9,11.0,0.0,8.3%,1.0,1.0,0.0,4.8%,2.6,0.2,4.0,0.0,0.13,-2.1,-0.13
79,trey sermon,25,IND,RB,17,3,56,159,14,75,1.3,84,1.5,3,18.7,7.0,-18.0,16.0,19.0,3.0,2.0,0.0,99.0,53.8,3.6,35.0,2.0,18.9%,2.0,2.0,0.0,28.6%,17.8,1.2,4.2,0.1,0.2,-0.6,-0.1
80,carson steele,22,KAN,RB,17,3,56,183,14,87,1.6,96,1.7,2,28.0,5.0,-17.0,7.0,11.0,1.0,0.0,0.0,26.0,23.9,1.5,30.0,0.0,15.4%,1.0,2.0,0.0,12.5%,4.2,0.3,3.1,0.0,0.1,-1.6,-0.1
81,roschon johnson,23,CHI,RB,14,0,55,150,17,80,1.5,70,1.3,0,,4.0,-10.0,16.0,20.0,2.0,6.0,0.0,104.0,77.4,6.0,27.0,6.0,28.6%,1.0,2.0,0.0,100.0%,40.7,3.1,5.8,0.5,0.37,0.2,0.13
82,jeremy mcnichols,29,WAS,RB,17,1,55,261,15,97,1.8,164,3.0,7,7.9,6.0,-13.0,9.0,12.0,2.0,4.0,0.0,27.0,63.8,3.8,39.0,3.0,15.1%,2.0,2.0,0.0,22.2%,25.0,1.5,3.0,0.3,0.1,0.8,0.2
83,miles sanders,27,CAR,RB,11,2,55,205,12,124,2.3,81,1.5,2,27.5,6.0,-14.0,24.0,30.0,2.0,2.0,1.0,148.0,77.3,7.0,11.0,1.0,7.4%,3.0,4.0,0.0,23.5%,11.8,1.1,7.0,0.3,0.19,0.0,0.11
87,christian mccaffrey,28,SFO,RB,4,4,50,202,12,116,2.3,86,1.7,3,16.7,5.0,-11.0,15.0,19.0,4.0,0.0,0.0,146.0,47.8,12.0,16.0,0.0,10.3%,3.0,4.0,0.0,40.0%,6.0,1.5,14.0,0.0,0.3,-2.0,-0.3
