,Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY
117,dalvin cook,29,DAL,2,8,346,2.31,20,12,1.5,8,1.0,1.0,1.0,10.0,0.0,0.0,,,,,4.0,2.0,2.9,0.0,0.02,-0.9,-0.02,-9.5,4.6
118,travis homer,26,CHI,10,6,325,1.85,23,16,2.7,7,1.2,3.0,3.0,11.0,0.0,0.0,,,,,6.4,0.7,1.1,0.0,0.0,-0.4,0.0,-10.8,3.8
119,jermar jefferson,24,DET,2,6,478,1.26,22,9,1.5,13,2.2,1.0,1.0,10.0,0.0,0.0,0.0,2.9%,0.0,0.0,4.2,2.1,,,,,,-9.4,5.1
120,marshawn lloyd,23,GNB,1,6,446,1.35,15,12,2.0,3,0.5,1.0,1.0,3.0,0.0,0.0,,,,,2.8,2.8,4.4,0.0,0.07,-1.6,-0.07,-8.7,4.72
121,aaron shampklin,25,PIT,3,6,426,1.41,17,8,1.3,9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5%,0.0,0.0,1.7,0.6,1.5,0.0,0.12,-0.9,-0.12,-10.9,4.35
122,sione vaki,23,DET,16,6,478,1.26,14,8,1.3,6,1.0,3.0,3.0,37.0,0.0,0.0,,,,,8.1,0.7,1.0,0.0,0.0,-0.3,0.0,-10.8,5.1
123,chris collier,24,LVR,3,5,308,1.62,12,5,1.0,7,1.4,1.0,2.0,-4.0,0.0,0.0,,,,,1.8,0.3,2.0,0.0,0.03,-1.7,-0.03,-11.2,3.85
124,jacob kibodi,26,CLE,1,5,308,1.62,24,10,2.0,14,2.8,1.0,3.0,15.0,0.0,0.0,,,,,4.9,4.9,,,,,,-6.6,3.87
125,jonathan ward,27,PIT,4,5,426,1.17,22,12,2.4,10,2.0,0.0,0.0,0.0,0.0,0.0,,,,,2.2,0.6,0.8,0.0,0.0,-0.2,0.0,-10.9,4.35
126,tony jones,27,ARI,1,4,371,1.08,55,9,2.3,46,11.5,0.0,0.0,0.0,1.0,0.0,,,,,11.5,11.5,,,,,,0.0,4.63
127,blake watson,25,DEN,2,4,343,1.17,10,7,1.8,3,0.8,1.0,2.0,13.0,0.0,0.0,0.0,0.0%,1.0,0.0,3.3,1.1,2.5,0.0,0.03,-1.4,-0.03,-10.4,4.52
128,tyrion davis-price,24,PHI,1,3,453,0.66,7,3,1.0,4,1.3,0.0,0.0,0.0,0.0,0.0,,,,,0.7,0.7,,,,,,-10.8,4.2
129,darrynton evans,26,CHI,5,3,325,0.92,3,2,0.7,1,0.3,0.0,0.0,0.0,0.0,0.0,,,,,0.3,0.2,,,,,,-11.3,3.8
130,myles gaskin,27,MIN,5,3,378,0.79,-1,-2,-0.7,1,0.3,1.0,1.0,11.0,0.0,0.0,0.0,1.7%,0.0,0.0,2.0,0.5,1.9,0.0,0.04,-1.4,-0.04,-11.0,4.53
131,george holani,25,SEA,5,3,322,0.93,10,7,2.3,3,1.0,1.0,1.0,-1.0,0.0,0.0,,,,,1.9,0.6,,,,,,-10.9,4.1
132,keshawn vaughn,27,SFO,3,2,328,0.61,4,2,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.4,0.4,,,,,,-11.1,4.65
133,british brooks,25,HOU,5,1,366,0.27,2,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.2,0.1,,,,,,-11.4,4.08
134,josh kelley,27,TEN,3,1,367,0.27,2,2,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.2,0.2,,,,,,-11.3,4.1
135,dylan laube,25,LVR,10,1,308,0.32,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-2.0,-0.3,0.3,0.0,0.0,-0.6,0.0,-11.8,3.85
136,cody schrader,25,LAR,1,1,397,0.25,3,3,3.0,0,0.0,1.0,1.0,6.0,0.0,0.0,,,,,1.9,1.9,,,,,,-9.6,4.63
